"longitude","latitude","cluster"
-93.033815,37.683583,2
-96.778424,32.766987,3
-89.417852,43.067468,2
-105.541739,48.794429,1
-75.767536,35.606269,6
-84.621191,40.131467,2
-79.962115,34.332185,7
-76.792634,40.412565,6
-80.207107,35.795131,7
-86.78479,36.169129,7
-80.542552,35.929355,7
-87.076943,38.69609,2
-93.970053,39.962839,2
-92.410345,40.748089,2
-112.201943,41.037559,1
-98.155868,43.680439,2
-103.135436,42.713038,1
-84.173261,34.442608,7
-104.898271,47.26613,1
-99.815583,40.86784,2
-101.948771,32.742528,3
-97.58143,45.355161,2
-104.368696,34.359273,3
-88.901853,40.181499,2
-102.607564,34.940766,3
-84.975868,39.140897,2
-84.58389,30.880643,7
-93.78458,40.736379,2
-85.499831,39.30598,2
-88.110292,35.603136,7
-113.141624,46.094672,1
-84.486433,41.321679,2
-85.804021,34.460915,7
-84.226343,33.770661,7
-88.768991,41.894612,2
-85.002697,41.39676,2
-94.40719,39.894665,2
-85.833596,35.982219,7
-123.980998,41.749903,1
-91.366767,42.472937,2
-85.399262,40.227543,2
-74.966728,42.193986,6
-83.007462,40.278941,2
-94.808189,36.393437,3
-75.398818,39.916685,6
-107.864892,38.861595,1
-86.901938,45.805229,2
-95.67335,33.385933,3
-91.489717,37.603072,2
-97.12114,33.205132,3
-104.881105,39.76185,1
-91.186925,40.915339,2
-121.225575,43.915118,1
-91.244103,33.828752,3
-81.806253,27.190581,5
-89.991211,34.874922,7
-102.332609,41.111903,1
-96.690239,44.75629,2
-99.014385,35.97796,3
-100.837953,45.148049,1
-97.361654,29.082346,3
-100.787617,33.615363,3
-82.34922,37.136701,7
-98.496518,46.107756,2
-95.196057,43.389611,2
-87.866139,46.012833,2
-87.364155,36.145533,7
-79.375294,34.390209,7
-99.765871,28.423587,3
-77.635492,37.073498,6
-103.509326,48.814754,1
-83.236232,29.552675,5
-96.855784,42.485086,2
-80.711498,39.264307,6
-83.167866,32.164369,7
-92.869353,44.020706,2
-96.645852,41.577008,2
-88.701939,43.429628,2
-108.506219,37.733823,1
-100.815846,34.955036,3
-83.807167,32.151995,7
-87.048683,45.093417,2
-80.404697,33.082186,7
-84.20904,31.532588,7
-104.925987,39.325414,1
-84.767314,33.701242,7
-88.222866,39.766078,2
-95.462155,45.936835,2
-92.515892,36.946517,2
-96.154066,41.297091,2
-119.609019,38.905129,4
-123.154476,43.286328,1
-98.358433,43.391506,2
-119.694622,47.741763,1
-91.892477,46.463218,2
-91.722778,33.587242,3
-86.873385,38.373344,2
-90.878771,42.463481,2
-110.429584,40.289393,1
-70.701499,41.38097,6
-101.681133,40.180165,3
-90.062254,36.153025,7
-102.612322,47.354557,1
-91.897645,44.947751,2
-88.086039,41.852058,2
-77.933543,34.934403,7
-78.878125,36.033828,7
-73.740014,41.754825,6
-81.648113,30.335245,5
-98.497393,27.681123,3
-89.398306,36.054196,7
-106.695169,39.626992,1
-84.906723,31.324191,7
-98.83656,32.324645,3
-84.84645,42.58953,2
-91.286414,44.726355,2
-82.897376,30.714008,5
-102.542507,31.865301,3
-98.900474,47.723436,2
-104.306434,32.457835,3
-87.74711,39.679037,2
-77.602742,35.917077,7
-81.968245,33.776498,7
-99.205362,45.41168,2
-88.047941,38.417095,2
-100.3074,29.985933,3
-81.343355,32.361688,7
-88.592849,39.047945,2
-120.534225,38.785612,4
-104.527472,38.827383,1
-106.241423,31.76648,3
-104.114076,39.315157,1
-82.841892,34.116415,7
-78.653937,41.427332,6
-85.863986,41.600693,2
-115.351424,41.141133,1
-99.750139,36.224258,3
-96.79694,32.346878,3
-86.142735,32.597229,7
-115.471205,43.394698,1
-82.299763,32.5911,7
-110.7211,39.009025,1
-94.66937,43.377984,2
-84.986822,45.590094,2
-100.237842,46.284255,2
-98.220545,32.236669,3
-78.778192,42.752759,6
-82.586835,41.394143,2
-80.096386,42.117952,6
-87.16841,31.122287,7
-87.320322,30.529998,7
-117.632382,37.778966,4
-70.864909,42.642708,6
-74.246292,40.7874,6
-73.778431,44.109601,6
-76.933747,37.936389,6
-71.732736,44.724021,6
-86.034263,34.047641,7
-116.272208,39.977788,1
-81.890153,32.153083,7
-77.273252,38.82952,6
-82.626685,39.747694,2
-81.127001,34.395669,7
-103.512609,43.221619,1
-104.405718,46.318184,1
-96.934127,31.25193,3
-84.317331,34.866543,7
-96.104988,33.591161,3
-93.947234,43.676522,2
-99.153564,45.065476,2
-92.336928,35.146548,3
-77.8215,38.744096,6
-87.764292,33.716157,7
-84.493941,33.412717,7
-91.840376,42.864122,2
-89.017923,39.001125,2
-85.185032,39.639655,2
-83.461893,39.555246,2
-79.640119,39.918907,6
-89.413803,35.196993,7
-96.921231,29.877886,3
-81.08607,38.030948,7
-84.937764,36.369892,7
-109.232956,47.221816,1
-118.533589,48.473256,1
-92.093937,43.679187,2
-97.596705,40.52504,2
-100.40312,32.740473,3
-81.286253,29.474891,5
-114.052059,48.295422,1
-79.710233,34.028535,7
-88.406988,45.871828,2
-85.213685,34.26369,7
-92.787367,43.052741,2
-85.911847,38.318081,2
-101.303274,34.07373,3
-80.350266,36.931433,7
-78.283494,37.830584,6
-99.816828,33.963306,3
-88.493284,43.754722,2
-88.224588,40.596539,2
-79.249705,41.513304,6
-88.773326,45.666881,2
-89.259447,31.18858,7
-84.127408,34.225143,7
-80.256961,36.132466,7
-95.771015,29.526602,3
-98.872876,47.471431,2
-87.234872,40.121237,2
-87.842814,34.441989,7
-93.887665,35.508558,3
-84.815213,29.677794,5
-83.227532,34.375266,7
-93.271415,42.736545,2
-111.822965,42.173609,1
-88.926321,37.991852,2
-85.066964,39.409762,2
-72.591792,42.584504,6
-91.072832,38.413003,2
-90.895457,31.477773,3
-78.28309,36.088241,7
-98.96208,40.183203,2
-74.31067,44.594376,6
-83.009086,39.969875,2
-77.724521,39.926772,6
-86.099203,35.155926,7
-95.219066,33.175846,3
-79.882715,36.991186,7
-72.909402,44.858964,6
-118.903891,46.537502,1
-78.263829,39.20366,6
-93.350289,43.674202,2
-96.144957,31.701749,3
-105.424958,38.45517,1
-95.599182,40.74259,2
-111.484429,44.218091,1
-108.608935,43.054831,1
-119.655019,36.761006,4
-99.109005,28.869383,3
-100.406683,40.530947,3
-91.819285,36.381322,2
-84.468182,33.790034,7
-90.202269,40.46524,2
-86.265006,41.050384,2
-74.423678,43.115609,6
-84.124267,41.597264,2
-78.122617,39.91075,6
-99.909663,40.191865,3
-84.612607,30.578687,7
-96.683453,40.255234,2
-102.631561,32.743942,3
-88.227964,37.768677,2
-111.163921,45.518054,1
-82.301746,38.817046,7
-94.888456,29.233453,3
-102.302985,41.633364,1
-107.90978,39.599352,1
-106.995991,47.267184,1
-98.951231,41.906868,2
-97.788741,36.378132,3
-111.450907,37.831663,4
-117.536705,46.429318,1
-93.146932,34.578852,3
-97.312723,34.70935,3
-101.301134,33.183792,3
-91.50578,38.441183,2
-81.177256,35.293344,7
-76.702355,36.442135,6
-81.173505,41.499322,6
-116.398784,44.061473,1
-83.706372,43.021077,2
-78.192778,43.00091,6
-85.821022,31.092382,7
-94.405321,40.208127,2
-88.642268,30.855431,7
-79.296333,33.417531,7
-87.580523,38.317398,2
-88.933812,35.991632,7
-110.81187,33.789618,4
-82.795801,29.723456,5
-87.035319,35.202723,7
-80.698321,37.318072,7
-98.94185,30.325093,3
-120.276246,45.382955,1
-84.454811,34.690523,7
-80.849413,38.915867,6
-105.528878,39.861156,1
-112.990502,48.705671,1
-81.19082,26.95481,5
-84.389816,43.98975,2
-82.606913,33.227491,7
-101.521494,31.868006,3
-122.4017,39.602546,4
-75.145679,39.722875,6
-76.523505,37.403541,6
-81.49645,31.21271,5
-89.788314,46.488054,2
-109.174586,46.380624,1
-103.844612,46.938924,1
-97.430415,28.6607,3
-97.49192,29.461912,3
-77.917626,37.718814,6
-92.716,44.406178,2
-114.82142,42.973185,1
-84.873862,34.509667,7
-104.35354,42.089455,1
-99.823206,40.509095,2
-84.244965,30.8759,7
-97.88689,35.021058,3
-71.842424,43.926439,6
-109.87831,32.931828,4
-83.830915,35.348364,7
-83.509546,36.277509,7
-106.110837,40.113065,1
-109.57345,38.974326,1
-97.450851,47.926003,2
-73.300759,44.801787,6
-85.553848,44.718688,2
-113.427356,46.395955,1
-92.422979,34.285568,3
-85.654946,40.515758,2
-96.010699,45.930743,2
-101.639049,46.357827,1
-101.755965,41.913957,1
-108.381504,32.732087,4
-97.788151,36.788254,3
-119.014057,44.496326,1
-96.772261,45.172637,2
-119.467788,47.213633,1
-90.694229,42.870028,2
-79.195064,39.105988,6
-78.657634,36.299884,7
-84.60469,43.292326,2
-100.812374,35.402542,3
-123.826735,47.113732,1
